Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3878,Panerai,Automatic,Titanium,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,11700.0,Item is in stock,80.0
3879,Dior,Quartz,Steel,Steel,Like new & unworn,"Original box, no original papers",Women's watch,2150.0,Item is in stock,1424.0
3880,Alpina,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1513.0,Item is in stock,497.0
3881,Meistersinger,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2333.0,Item needs to be procured,2330.0
3882,Sinn,Automatic,Steel,Rubber,Used (Good),"No original box, no original papers",Men's watch/Unisex,1547.0,Item is in stock,17869.0
3883,Enicar,Manual winding,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,901.0,Item is in stock,179.0
3884,Heuer,,Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,3651.0,Item is in stock,6.0
3885,Tudor,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,2499.0,Item is in stock,14.0
3886,Cartier,Automatic,Steel,Steel,Used (Fair),"Original papers, no original box",Men's watch/Unisex,5500.0,Item is in stock,2441.0
3887,Louis Erard,Manual winding,,Calf skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,759.0,Item is in stock,
3888,Porsche Design,Automatic,Titanium,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,5871.0,Item is in stock,
3889,Charriol,Quartz,Steel,Steel,,"No original box, no original papers",Women's watch,783.0,Item is in stock,3511.0
3890,GUB Glashütte,,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,556.0,Item is in stock,3079.0
3891,Louis Vuitton,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Women's watch,2000.0,Item is in stock,1606.0
3892,Michel Herbelin,,,,New,"Original box, original papers",Women's watch,650.0,Item needs to be procured,2330.0
3893,Parmigiani Fleurier,Automatic,White gold,Crocodile skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7750.0,Item needs to be procured,16.0
3894,Mercury,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,433.0,Item is in stock,
3895,Universal Genève,Manual winding,,Leather,Used (Very good),"No original box, no original papers",,857.0,Item is in stock,197.0
3896,Wyler Vetta,,Steel,Steel,New,"Original box, original papers",,4230.0,Item is in stock,234.0
3897,Paul Picot,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,1464.0,Item is in stock,
3898,Sector,Quartz,,,Used (Fair),"No original box, no original papers",Men's watch/Unisex,86.0,Item is in stock,
3899,Grand Seiko,Automatic,Titanium,Titanium,Used (Very good),"Original box, original papers",Men's watch/Unisex,9100.0,Item is in stock,114.0
