Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
32,Hermès,Quartz,Gold/Steel,Ostrich skin,Used (Very good),"No original box, no original papers",Women's watch,962.0,Item is in stock,9.0
33,Cyma,Quartz,Yellow gold,,Like new & unworn,"No original box, no original papers",Women's watch,292.0,Item is in stock,2998.0
34,Concord,Manual winding,White gold,Alligator skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,5999.0,Item is in stock,902.0
35,Porsche Design,Automatic,Titanium,Rubber,New,"Original box, original papers",Men's watch/Unisex,1022.0,Item needs to be procured,295.0
36,Montblanc,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Women's watch,1000.0,Item is in stock,171.0
37,Oris,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,2150.0,Item is in stock,3087.0
38,Montblanc,Automatic,Steel,Steel,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,2800.0,Item is in stock,
39,Parmigiani Fleurier,Manual winding,Steel,,New,"Original box, original papers",Men's watch/Unisex,9950.0,Item is in stock,2206.0
40,Girard Perregaux,Automatic,Steel,Crocodile skin,New,"Original box, original papers",,9700.0,Item is in stock,133.0
41,Norqain,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3790.0,Item is in stock,1420.0
42,Victorinox Swiss Army,Quartz,Steel,Steel,Like new & unworn,"No original box, no original papers",,216.0,Item is in stock,1408.0
43,NOMOS,Manual winding,Steel,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,1383.0,Item is in stock,722.0
44,Rotary,Quartz,Yellow gold,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,157.0,Item is in stock,
45,Graham,Automatic,Steel,Calf skin,Used (Very good),"Original box, original papers",,2496.0,Item is in stock,1174.0
46,Louis Vuitton,Quartz,,,Used (Very good),"No original box, no original papers",Women's watch,777.0,Item is in stock,478.0
47,F.P.Journe,Manual winding,Tantalum,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,85999.0,Item needs to be procured,11.0
48,Garmin,Quartz,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,1399.0,Item needs to be procured,6322.0
49,Venezianico,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,610.0,Item is in stock,816.0
50,Franck Muller,Automatic,Rose gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,19999.0,Item is in stock,20.0
51,Harry Winston,Quartz,,,Used (Very good),"Original box, original papers",,9318.0,Item is in stock,22.0
52,Eberhard & Co.,Automatic,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,972.0,Item is in stock,663.0
53,U-Boat,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,975.0,Item is in stock,3529.0
54,Zeppelin,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,539.0,Item is in stock,2328.0
55,Clerc,Automatic,,Rubber,Used (Very good),"Original box, no original papers",Men's watch/Unisex,2500.0,Item is in stock,467.0
56,Enicar,Automatic,Steel,,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,3565.0,Item is in stock,
57,Swiss Military,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,539.0,Item is in stock,125.0
58,Traser,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,594.0,Item is in stock,1473.0
59,Slava,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,465.0,Item is in stock,78.0
60,Norqain,Automatic,Steel,Steel,Used (Good),"Original box, original papers",Men's watch/Unisex,1370.0,Item is in stock,
61,Romain Jerome,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,5643.0,Item needs to be procured,549.0
62,Romain Jerome,Automatic,,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,7345.0,Item is in stock,
63,Maserati,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,248.0,Item is in stock,14626.0
64,Pequignet,,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,8989.0,Item is in stock,3077.0
65,Doxa,Manual winding,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,199.0,Item is in stock,
66,Parmigiani Fleurier,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,16674.0,Item is in stock,1.0
67,Chanel,Automatic,Steel,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7400.0,Item is in stock,467.0
68,Philip Watch,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,421.0,Item is in stock,4.0
69,Bremont,Automatic,Steel,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,2917.0,Item is in stock,114.0
70,Chaumet,Quartz,Steel,Steel,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,3293.0,Item needs to be procured,439.0
71,Piaget,Automatic,Yellow gold,Yellow gold,Used (Good),"No original box, no original papers",Women's watch,15999.0,Item is in stock,295.0
72,Steinhart,Automatic,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,324.0,Item is in stock,
73,Eberhard & Co.,Automatic,Steel,,Used (Very good),"Original box, original papers",,3446.0,Item is in stock,75.0
74,Breguet,Automatic,White gold,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,35000.0,Item is in stock,1604.0
75,Michael Kors,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,128.0,Item is in stock,
76,Glycine,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,485.0,Item is in stock,
77,Sandoz,Quartz,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,681.0,Item is in stock,
78,Michel Herbelin,,,,New,"Original box, original papers",Women's watch,593.0,Item needs to be procured,2328.0
79,Gucci,Quartz,Steel,Rubber,Used (Good),"Original box, original papers",Men's watch/Unisex,390.0,Item is in stock,37.0
80,Girard Perregaux,,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,14175.0,Item needs to be procured,777.0
81,Philip Watch,Automatic,,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,702.0,Item is in stock,
82,Squale,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1457.0,Item is in stock,4592.0
83,Ingersoll,Automatic,Steel,Gold-plated,Used (Good),"Original box, no original papers",Men's watch/Unisex,370.0,Item is in stock,
84,Zeno-Watch Basel,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1602.0,Item is in stock,2028.0
85,Citizen,Quartz,,,New,"Original box, original papers",Men's watch/Unisex,1499.0,Item is in stock,733.0
86,Locman,Quartz,Titanium,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,270.0,Item is in stock,
87,Elgin,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1150.0,Item is in stock,94.0
88,Doxa,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1675.0,Item is in stock,357.0
89,Tecnotempo,Automatic,,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,508.0,Item is in stock,
90,Orient,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,70.0,Item is in stock,
91,Hanhart,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2334.0,Item needs to be procured,1072.0
92,Cartier,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,7100.0,Item is in stock,31.0
93,Revue Thommen,Automatic,Steel,,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,631.0,Item is in stock,1369.0
94,Lorenz,Quartz,Yellow gold,Leather,Used (Very good),"No original box, no original papers",,1296.0,Item is in stock,203.0
95,Doxa,,,,,"Original papers, no original box",,3495.0,Item is in stock,615.0
96,Maurice Lacroix,Automatic,Titanium,,Used (Very good),"Original box, original papers",Men's watch/Unisex,4950.0,Item is in stock,
97,Zenith,Automatic,Rose gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,7800.0,Item is in stock,2038.0
98,TAG Heuer,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,5195.0,Item is in stock,212.0
99,Union Glashütte,Automatic,Steel,Textile,,"Original box, original papers",Men's watch/Unisex,3111.0,Item available on request,12531.0
100,Timex,,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,270.0,Item is in stock,
101,Universal Genève,Manual winding,Red gold,Leather,Used (Very good),"No original box, no original papers",,6428.0,Item is in stock,158.0
102,Harry Winston,Automatic,Rose gold,Crocodile skin,New,"Original box, original papers",Women's watch,44186.0,Item is in stock,50.0
103,Bulgari,Automatic,Rose gold,Leather,New,"Original box, original papers",Women's watch,27000.0,Item is in stock,265.0
104,Swatch,Automatic,Plastic,Textile,New,"Original box, original papers",Men's watch/Unisex,650.0,Item is in stock,288.0
105,Squale,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,540.0,Item is in stock,
106,Zeno-Watch Basel,Automatic,Steel,Leather,New,"No original box, no original papers",Men's watch/Unisex,2530.0,Item is in stock,579.0
107,Venezianico,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1290.0,Item is in stock,
108,Glycine,Automatic,Yellow gold,Crocodile skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1500.0,Item is in stock,1461.0
109,Fortis,Automatic,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,7345.0,Item available on request,4592.0
110,Nivada,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1005.0,Item needs to be procured,3108.0
111,Junghans,Automatic,Gold/Steel,Calf skin,Used (Good),"No original box, no original papers",Men's watch/Unisex,313.0,Item is in stock,722.0
112,Zeppelin,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2106.0,Item needs to be procured,399.0
113,Bulgari,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,9900.0,Item is in stock,2038.0
114,Grand Seiko,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,6000.0,Item is in stock,627.0
115,TW Steel,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,215.0,Item is in stock,14626.0
116,Bovet,Automatic,Steel,Crocodile skin,Used (Very good),"Original papers, no original box",Men's watch/Unisex,11668.0,Item needs to be procured,919.0
117,Breitling,Automatic,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,3500.0,Item is in stock,6.0
118,Hermès,Quartz,Steel,Steel,Used (Fair),"Original box, original papers",Men's watch/Unisex,604.0,Item is in stock,17847.0
119,Technomarine,,Steel,,Used (Good),"No original box, no original papers",Women's watch,1047.0,Item is in stock,172.0
120,Raymond Weil,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",,1995.0,Item is in stock,615.0
121,Cyma,Quartz,Yellow gold,Leather,Like new & unworn,"No original box, no original papers",Women's watch,335.0,Item is in stock,2998.0
122,Seiko,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2475.0,Item is in stock,219.0
123,Poljot,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",,246.0,Item is in stock,2045.0
124,Dewitt,Automatic,Rose gold,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7500.0,Item needs to be procured,89.0
125,Breguet,Automatic,Steel,Steel,Used (Very good),"Original papers, no original box",Men's watch/Unisex,5295.0,Item is in stock,1296.0
126,Junghans,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,,,
127,Tecnotempo,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,454.0,Item is in stock,
128,U-Boat,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1000.0,Item is in stock,3529.0
129,Yema,,Steel,Steel,Used (Fair),"Original box, original papers",Men's watch/Unisex,647.0,Item is in stock,
130,Mühle Glashütte,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,3349.0,Item needs to be procured,4181.0
131,Gucci,Quartz,Gold/Steel,Leather,Used (Good),"No original box, no original papers",Women's watch,295.0,Item is in stock,1390.0
132,Victorinox Swiss Army,Quartz,Steel,Rubber,New,"No original box, no original papers",,505.0,Item is in stock,445.0
133,Ulysse Nardin,Automatic,Carbon,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,18299.0,Item needs to be procured,522.0
134,Corum,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,4220.0,Item is in stock,178.0
135,Luminox,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,782.0,Item is in stock,2139.0
136,Fendi,Quartz,Steel,Steel,,"Original box, original papers",,375.0,Item is in stock,1174.0
137,Hamilton,Manual winding,,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,,,
138,Louis Erard,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",,1226.0,Item is in stock,1408.0
139,Concord,Manual winding,Rose gold,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,6169.0,Item is in stock,17.0
140,Van Der Bauwede,Automatic,,,Used (Good),"Original box, no original papers",Men's watch/Unisex,8427.0,Item is in stock,
141,Stowa,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1026.0,Item is in stock,
142,F.P.Journe,Manual winding,,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,57500.0,Item is in stock,
143,F.P.Journe,Manual winding,,,,"Original box, no original papers",Men's watch/Unisex,233926.0,Item needs to be procured,1640.0
144,Laco,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,367.0,Item is in stock,2328.0
145,Michele,Quartz,Steel,Leather,Used (Very good),"Original box, original papers",Women's watch,449.0,Item is in stock,14.0
146,Alpina,,Steel,Leather,Like new & unworn,"Original box, original papers",,853.0,Item needs to be procured,476.0
147,Ulysse Nardin,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,7985.0,Item is in stock,545.0
148,Favre-Leuba,Automatic,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,627.0,Item is in stock,1005.0
149,Bedat & Co,Automatic,Steel,Leather,New,"Original box, original papers",Women's watch,3495.0,Item is in stock,1604.0
150,Corum,,Titanium,,Used (Good),"No original box, no original papers",,3900.0,Item is in stock,171.0
151,Locman,Automatic,,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,594.0,Item is in stock,
152,A. Lange & Söhne,,,,,"No original box, no original papers",,7500.0,Item is in stock,347.0
153,Mondaine,Quartz,,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,249.0,Item is in stock,
154,Timex,Quartz,,Textile,Like new & unworn,"Original box, original papers",Men's watch/Unisex,216.0,Item is in stock,
155,Tutima,Automatic,Titanium,Titanium,Used (Very good),"Original box, no original papers",Men's watch/Unisex,1441.0,Item is in stock,158.0
156,Frederique Constant,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,750.0,Item is in stock,
157,Heuer,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3999.0,Item is in stock,
158,Swiss Military,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,269.0,Item is in stock,14626.0
159,Edox,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,863.0,Item is in stock,
160,Garmin,Solar,,,New,"Original box, original papers",,3151.0,Item needs to be procured,7714.0
161,Rado,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",,1495.0,Item is in stock,615.0
162,Spinnaker,Automatic,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,198.0,Item is in stock,14626.0
163,Glycine,Automatic,White gold,Crocodile skin,Used (Very good),"No original box, no original papers",Women's watch,1200.0,Item is in stock,1461.0
164,Bovet,Manual winding,White gold,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,82950.0,Item is in stock,3087.0
165,Yema,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,821.0,Item is in stock,11.0
166,Enicar,Automatic,Steel,Leather,Used (Fair),"No original box, no original papers",Men's watch/Unisex,1574.0,Item is in stock,215.0
167,Christopher Ward,Automatic,,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,907.0,Item is in stock,
168,Meistersinger,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2099.0,Item is in stock,1461.0
169,Perseo,Manual winding,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,238.0,Item is in stock,
170,F.P.Journe,,,,Used (Very good),"Original box, original papers",,78110.0,Item is in stock,23.0
171,IWC,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,6749.0,Item is in stock,28.0
172,Victorinox Swiss Army,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,420.0,Item is in stock,219.0
173,Franck Muller,Quartz,White gold,Leather,New,"Original box, original papers",Women's watch,6154.0,Item is in stock,32.0
174,Chopard,,,,Used (Good),"Original box, no original papers",,8595.0,Item is in stock,7.0
175,Roger Dubuis,Manual winding,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,69500.0,Item is in stock,955.0
176,Pulsar,Quartz,Steel,Leather,Used (Good),"No original box, no original papers",Women's watch,40.0,Item is in stock,545.0
177,Mondaine,,,,New,"Original box, original papers",,279.0,Item is in stock,36.0
178,Shinola,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2200.0,Item is in stock,
179,Carl F. Bucherer,Automatic,Steel,,New,"Original box, no original papers",,1895.0,Item is in stock,1101.0
180,Laco,Automatic,Steel,Textile,New,"Original box, original papers",Men's watch/Unisex,1970.0,Item is in stock,73.0
181,Victorinox Swiss Army,Quartz,,Steel,New,"Original box, original papers",,466.0,Item is in stock,732.0
182,Casio,,,,New,"Original box, original papers",Men's watch/Unisex,,Item available on request,576.0
183,Porsche Design,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7282.0,Item is in stock,403.0
184,Squale,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,853.0,Item is in stock,
185,Meistersinger,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1399.0,Item is in stock,680.0
186,Citizen,Quartz,Titanium,Rubber,New,"Original box, original papers",Men's watch/Unisex,1397.0,Item is in stock,82.0
187,Terra Cielo Mare,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,810.0,Item is in stock,1580.0
188,Vulcain,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,1469.0,Item is in stock,5034.0
189,Dubey & Schaldenbrand,Automatic,,,Used (Very good),"Original box, no original papers",Men's watch/Unisex,2580.0,Item is in stock,
190,Bulova,,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,249.0,Item is in stock,14.0
191,Edox,,Ceramic,Rubber,Used (Good),"Original box, original papers",,537.0,Item is in stock,81.0
192,Perrelet,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,1729.0,Item is in stock,
193,Elgin,Manual winding,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,431.0,Item is in stock,1431.0
194,Edox,Quartz,,Rubber,Used (Good),"Original box, original papers",Women's watch,329.0,Item is in stock,17847.0
195,Oris,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2399.0,Item is in stock,1170.0
196,Steinhart,Automatic,Steel,Silicon,New,"Original box, original papers",Men's watch/Unisex,829.0,Item is in stock,411.0
197,Festina,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,70.0,Item is in stock,
198,Porsche Design,Automatic,Titanium,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,3122.0,Item is in stock,347.0
199,Omega,Manual winding,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,8190.0,Item is in stock,21.0
200,Frederique Constant,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,2274.0,Item is in stock,114.0
201,Hanhart,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2150.0,Item needs to be procured,1072.0
202,Sicura,,,Leather,Like new & unworn,"No original box, no original papers",Women's watch,421.0,Item is in stock,2998.0
203,TAG Heuer,Smartwatch,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,,,397.0
204,NOMOS,Manual winding,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1404.0,Item is in stock,663.0
205,Alfred Dunhill,Manual winding,Steel,,Used (Fair),"No original box, no original papers",Men's watch/Unisex,1349.0,Item is in stock,179.0
206,Girard Perregaux,Automatic,Gold/Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1567.0,Item is in stock,28.0
207,Ingersoll,Automatic,,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,270.0,Item is in stock,
208,Fendi,Quartz,Gold-plated,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,281.0,Item is in stock,
209,Alpina,Quartz,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,735.0,Item is in stock,
210,Citizen,,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,305.0,Item is in stock,576.0
211,Certina,Manual winding,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,810.0,Item is in stock,5.0
212,Favre-Leuba,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1424.0,Item is in stock,28.0
213,Frederique Constant,Quartz,Steel,,Like new & unworn,"Original box, no original papers",Women's watch,1150.0,Item is in stock,1369.0
214,Cuervo y Sobrinos,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1750.0,Item needs to be procured,1736.0
215,Poljot,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,323.0,Item is in stock,2053.0
216,Vulcain,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2042.0,Item needs to be procured,3108.0
217,Minerva,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,3750.0,Item is in stock,57.0
218,Harry Winston,Automatic,White gold,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,39995.0,Item is in stock,545.0
219,Chronoswiss,Automatic,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,3986.0,Item is in stock,1739.0
220,Spinnaker,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,528.0,Item is in stock,14626.0
221,Venezianico,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,,Item needs to be procured,816.0
222,Movado,Quartz,,,Like new & unworn,"No original box, no original papers",Women's watch,650.0,Item is in stock,545.0
223,Jaeger-LeCoultre,Manual winding,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,9999.0,Item is in stock,2946.0
224,Franck Muller,Automatic,Rose gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,10000.0,Item is in stock,50.0
225,Michel Herbelin,Quartz,,Leather,New,"Original box, original papers",Women's watch,519.0,Item is in stock,732.0
226,Hermès,Automatic,Steel,,Used (Good),"Original box, original papers",,2692.0,Item is in stock,37.0
227,Lucien Rochat,Automatic,Gold/Steel,Gold/Steel,Used (Very good),"Original box, no original papers",Men's watch/Unisex,3024.0,Item is in stock,
228,Carl F. Bucherer,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,5999.0,Item needs to be procured,522.0
229,Raketa,Manual winding,Steel,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,351.0,Item is in stock,
230,Cartier,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,7195.0,Item is in stock,260.0
231,Breguet,Automatic,Yellow gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,12300.0,Item is in stock,1153.0
232,Cyma,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1026.0,Item is in stock,
233,Bremont,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,3500.0,Item is in stock,
234,Yema,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2701.0,Item is in stock,
235,Romain Jerome,Automatic,Steel,Crocodile skin,Used (Good),"Original box, original papers",Men's watch/Unisex,9615.0,Item is in stock,779.0
236,Maurice Lacroix,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1231.0,Item is in stock,1978.0
237,Bremont,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3255.0,Item is in stock,
238,Baltic,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,4213.0,Item is in stock,
239,Carl F. Bucherer,Manual winding,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,1296.0,Item is in stock,
240,Glashütte Original,Automatic,Steel,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,7000.0,Item is in stock,
241,Seiko,Automatic,Steel,Calf skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,899.0,Item is in stock,902.0
242,Graham,Automatic,Steel,,New,"Original box, original papers",Men's watch/Unisex,2658.0,Item is in stock,1035.0
243,Van Cleef & Arpels,Quartz,,Crocodile skin,Used (Very good),"Original box, original papers",Women's watch,6000.0,Item is in stock,13197.0
244,Norqain,Automatic,Steel,,,"Original box, original papers",,2384.0,Item is in stock,13.0
245,Vacheron Constantin,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,19993.0,Item is in stock,1883.0
246,Chanel,Automatic,Ceramic,Ceramic,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3650.0,Item is in stock,27.0
247,Breitling,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,3239.0,Item is in stock,697.0
248,Milus,Manual winding,Gold/Steel,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,585.0,Item is in stock,1390.0
249,Orient,Automatic,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,629.0,Item is in stock,209.0
250,Timex,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,320.0,Item is in stock,
251,Michele,,Steel,Leather,New,"Original box, original papers",Women's watch,386.0,Item is in stock,1175.0
252,Yema,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,897.0,Item is in stock,1086.0
253,A. Lange & Söhne,Manual winding,White gold,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,31330.0,Item is in stock,253.0
254,Ebel,Quartz,Steel,Steel,Used (Fair),"Original box, original papers",Men's watch/Unisex,589.0,Item is in stock,17847.0
255,Swiss Military,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,257.0,Item is in stock,14626.0
256,Jacob & Co.,Quartz,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3999.0,Item is in stock,522.0
257,Fendi,Quartz,Rose gold,Leather,Used (Very good),"No original box, no original papers",Women's watch,213.0,Item is in stock,6075.0
258,Bruno Söhnle,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Women's watch,1294.0,Item is in stock,231.0
259,F.P.Journe,Quartz,Titanium,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,54794.0,Item is in stock,
260,Jaeger-LeCoultre,,,Leather,Used (Very good),"No original box, no original papers",,19800.0,Item is in stock,666.0
261,Movado,,Steel,,New,"Original box, original papers",,695.0,Item is in stock,733.0
