id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
392,Chopard,Automatic,Steel,Rubber,Used (Good),No Box and papers,Men's watch/Unisex,3450.0,Available,3087
395,Festina,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,215.0,Available,14626
396,Cyma,Quartz,Yellow gold,Leather,New,No Box and papers,Men's watch/Unisex,384.0,Available,2998
397,Laco,Manual winding,Gold/Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,139.0,Available,223
398,Grand Seiko,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,5680.0,Available,225
400,Carl F. Bucherer,Quartz,Gold/Steel,Gold/Steel,New,Original Box,Women's watch,2000.0,Available,1604
401,Roger Dubuis,Manual winding,Rose gold,Calf skin,New,Original Box and Papers,Men's watch/Unisex,296426.0,Available Upon Request,74
402,Victorinox Swiss Army,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,461.0,Available,2328
405,H.Moser & Cie.,Automatic,Yellow gold,Yellow gold,New,Original Box and Papers,Men's watch/Unisex,231472.0,Available,20
406,Hublot,Automatic,Rose gold,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,31575.0,Available,1123
407,Spinnaker,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,528.0,Available,14626
409,Versace,Automatic,Ceramic,Ceramic,Used (Good),Original Paper,Men's watch/Unisex,1783.0,Available,270
411,Junghans,Solar,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1210.0,Available Upon Request,1736
412,Rolex,Automatic,Gold/Steel,Gold/Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,16595.0,Available,1222
414,Ball,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,2231.0,Available,316
416,Citizen,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,449.0,Available,733
418,Audemars Piguet,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,37450.0,Available,80
419,Hublot,Automatic,Ceramic,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,7795.0,Available,790
420,Jacob & Co.,Quartz,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,5294.0,Available,669
421,Anonimo,Automatic,Bronze,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,3511.0,Available,905
423,Tiffany,Quartz,Steel,Calf skin,Used (Good),Original Paper,Women's watch,840.0,Available,937
424,Nivada,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1005.0,Available Upon Request,1072
425,Louis Vuitton,Automatic,Steel,Rubber,Used,No Box and papers,Men's watch/Unisex,2053.0,Available,779
426,Piaget,Quartz,White gold,White gold,Used (Good),Original Box,Men's watch/Unisex,16500.0,Available,75
427,Universal Genève,Manual winding,Steel,Lizard skin,Used (Good),No Box and papers,Men's watch/Unisex,5391.0,Available,1431
433,Ressence,Automatic,Titanium,Leather,Used (Good),Original Box,Men's watch/Unisex,22950.0,Available,3087
434,A. Lange & Söhne,Automatic,White gold,Crocodile skin,Used,Original Box,Men's watch/Unisex,17200.0,Available,2439
435,Tudor,Automatic,Titanium,Textile,Used (Good),Original Box and Papers,Men's watch/Unisex,3745.0,Available,172
441,Wittnauer,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,995.0,Available,1390
443,Maserati,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,183.0,Available,14626
444,H.Moser & Cie.,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,13000.0,Available,1798
446,Hublot,Automatic,Ceramic,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,12875.0,Available,1123
448,Mido,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,1426.0,Available,127
451,Gérald Genta,Automatic,White gold,Crocodile skin,Used (Good),No Box and papers,Men's watch/Unisex,16511.0,Available Upon Request,439
452,Breitling,Automatic,Steel,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,8500.0,Available,697
453,Gucci,Quartz,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,735.0,Available,2888
454,Zodiac,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,962.0,Available,19
458,Bedat & Co,Quartz,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,8550.0,Available Upon Request,265
460,Chopard,Automatic,Steel,Leather,New,Original Box and Papers,Women's watch,8600.0,Available,265
462,Elgin,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,230.0,Available,759
463,Formex,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,1349.0,Available,4592
